Date,Algeria,Australia,Botswana,Brazil,Brunei,Canada,Chile,China,Colombia,Czech Republic,Denmark,EUR,India,Israel,Japan,Korean,Kuwait,Malaysia,Mauritius,Mexico,New Zealand,Norway,Oman,Peru,Philippines,Poland,Qatar,Russia,Saudi Arabia,Singapore,South Africa,Sweden,Switzerland,Thailand,Trinidadian,U.A.E.,U.K.,U.S.,Uruguay
01-04-2016,0.00671045,0.520544,0.0641401,0.184561,0.506341,0.51591,0.00101481,0.110659,0.000228824,0.0290665,0.105253,0.785392,0.0108434,0.184175,0.00603025,0.00061491,2.37376,0.166688,0.0200462,0.0415305,0.489286,0.0814092,1.87432,0.21226,0.0152951,0.183467,0.197988,0.00988175,0.19218,0.506341,0.0463689,0.0857038,0.721685,0.0199291,0.112887,0.196236,1.06444,0.720675,0.024011
01-05-2016,0.0067226,0.52263,0.0642233,0.179481,0.508786,0.518022,0.00101106,0.111183,0.000225588,0.0288275,0.104409,0.778943,0.0108934,0.184539,0.00606483,0.000612065,2.3864,0.166924,0.0201463,0.0417897,0.489286,0.0812414,1.88522,0.21226,0.0153818,0.180887,0.19914,0.00950253,0.193298,0.508786,0.0458339,0.0851614,0.717691,0.020065,0.112887,0.197377,1.06331,0.724868,0.024011
01-06-2016,0.00672257,0.516299,0.0637128,0.180693,0.50638,0.51465,0.00101364,0.110623,0.000226237,0.0287678,0.104368,0.778616,0.0108644,0.183921,0.00611673,0.000610283,2.38471,0.165885,0.0201463,0.0415589,0.485131,0.0809164,1.88513,0.21225,0.0154072,0.18021,0.19913,0.00950253,0.193289,0.50638,0.0458339,0.0841397,0.718581,0.0200136,0.112829,0.197368,1.06282,0.724833,0.0237036
01-07-2016,0.00672477,0.508623,0.0631354,0.179236,0.503045,0.513742,0.00100147,0.109555,0.000222221,0.0290425,0.105244,0.785075,0.0107959,0.183483,0.00612181,0.000605053,2.37857,0.163655,0.0200279,0.0409119,0.479945,0.0809563,1.87873,0.21091,0.015386,0.18021,0.198454,0.00950253,0.192633,0.503045,0.0448689,0.0841397,0.722156,0.0199001,0.112381,0.196698,1.05221,0.722373,0.0237036
01-08-2016,0.00671677,0.510064,0.0633517,0.178473,0.503849,0.510471,0.00100147,0.109636,0.000219746,0.0290423,0.105173,0.784564,0.0108351,0.184184,0.00610624,0.000602124,2.37856,0.165283,0.0199915,0.0402921,0.47893,0.081042,1.87872,0.21091,0.0153467,0.180759,0.198453,0.00950253,0.192631,0.503849,0.0452007,0.0850115,0.722946,0.0199356,0.112734,0.196697,1.0548,0.722368,0.0237036
01-11-2016,0.00672613,0.503475,0.0621404,0.17931,0.501929,0.508077,0.000997807,0.109605,0.000220821,0.0290842,0.105332,0.785813,0.0108061,0.183692,0.00614239,0.000603347,2.37879,0.164084,0.0199534,0.0402514,0.471286,0.0812039,1.87705,0.210784,0.0153496,0.180048,0.198276,0.00950253,0.19246,0.501929,0.0435147,0.0847631,0.724477,0.0198822,0.112221,0.196521,1.05141,0.721724,0.0235865
01-12-2016,0.00672858,0.505011,0.0621497,0.180189,0.502823,0.506271,0.000991411,0.110013,0.000221368,0.0290136,0.105076,0.783998,0.0108164,0.183539,0.00614239,0.000598636,2.38389,0.164285,0.0200296,0.0403928,0.474552,0.0813374,1.8817,0.211368,0.0153056,0.180113,0.198767,0.00944482,0.192937,0.502823,0.0435,0.0849123,0.723512,0.0199254,0.112897,0.197008,1.04417,0.723512,0.0235841
1/13/2016,0.0067368,0.509646,0.0624648,0.179818,0.505018,0.506961,0.000992291,0.110181,0.000223209,0.0290057,0.105045,0.783781,0.0108417,0.183781,0.00612916,0.000599628,2.38568,0.164899,0.0200564,0.0405966,0.475153,0.0819962,1.88466,0.211886,0.0153122,0.180855,0.19908,0.00948153,0.19324,0.505018,0.0439883,0.0848477,0.719256,0.019981,0.113306,0.197318,1.04292,0.72465,0.0236096
1/14/2016,0.00672656,0.500386,0.0621691,0.181135,0.501847,0.50237,0.000993789,0.109597,0.000223171,0.0291105,0.105401,0.786537,0.0107617,0.183077,0.00615145,0.000598522,2.37871,0.164365,0.0199917,0.0403111,0.467387,0.0818705,1.87791,0.211004,0.015215,0.180559,0.198367,0.00943582,0.192549,0.501847,0.0435762,0.0847336,0.720688,0.0198859,0.112494,0.196612,1.03861,0.722057,0.0235359
1/15/2016,0.00673893,0.502188,0.0620868,0.179693,0.50214,0.497508,0.000995592,0.109728,0.000223031,0.0291962,0.105699,0.788842,0.0107186,0.183307,0.006118,0.000596009,2.38109,0.165113,0.0200119,0.0396896,0.468072,0.0820986,1.87979,0.210846,0.0151593,0.178857,0.198566,0.00944008,0.192741,0.50214,0.043384,0.0846109,0.719757,0.0199047,0.112511,0.196809,1.03733,0.72278,0.0234898
1/19/2016,0.00674111,0.497925,0.0621411,0.179431,0.503584,0.499004,0.000991858,0.110078,0.000219875,0.0291275,0.105472,0.78712,0.0107197,0.183217,0.00615968,0.000597859,2.38516,0.165016,0.0200746,0.0398058,0.467144,0.0818136,1.88363,0.211153,0.0151676,0.177006,0.198971,0.0092278,0.193135,0.503584,0.0435125,0.0845816,0.719721,0.0199602,0.112897,0.19721,1.03583,0.724255,0.0234911
1/20/2016,0.0067398,0.496724,0.0618464,0.179478,0.502815,0.495819,0.000996089,0.109943,0.000219366,0.0291803,0.105705,0.788958,0.010641,0.181609,0.00618248,0.000597859,2.38533,0.165167,0.0200807,0.0388731,0.460702,0.0816302,1.88127,0.210215,0.0151732,0.176958,0.198723,0.00910316,0.192893,0.502815,0.0431314,0.0847798,0.721402,0.0199286,0.1125,0.196964,1.02405,0.72335,0.0233784
1/21/2016,0.00671673,0.499778,0.0621013,0.177135,0.503017,0.508173,0.000992555,0.110009,0.000215563,0.0291334,0.105644,0.788426,0.0106346,0.182223,0.00617306,0.000597384,2.38757,0.1654,0.0201007,0.0391061,0.467497,0.0812536,1.88242,0.210099,0.0151478,0.175239,0.198844,0.00865869,0.193011,0.503017,0.0434619,0.0843815,0.719832,0.0199573,0.112311,0.197084,1.02192,0.723791,0.0233443
1/22/2016,0.00673761,0.507974,0.0625723,0.174468,0.506077,0.512371,0.000997834,0.110198,0.000215247,0.0289999,0.105017,0.783641,0.0107022,0.182588,0.00615497,0.000599269,2.39174,0.167179,0.0201007,0.0393453,0.473244,0.0827633,1.88571,0.210133,0.015147,0.176709,0.199191,0.00899893,0.193348,0.506077,0.0440872,0.084529,0.716317,0.0200641,0.112489,0.197428,1.03625,0.725056,0.0234114
1/25/2016,0.00674691,0.509875,0.062564,0.176029,0.508442,0.509263,0.00101421,0.110318,0.000221163,0.0290553,0.105189,0.784954,0.0107299,0.18227,0.00611974,0.000603226,2.39459,0.169092,0.0200846,0.039158,0.467832,0.0829895,1.88765,0.210133,0.015166,0.175543,0.199396,0.00932948,0.193547,0.508442,0.0441068,0.0846781,0.715427,0.0201751,0.112456,0.197631,1.03318,0.725801,0.0234114
