,Year,Date,Description,FullDate,Country
0,2010,12-Jan,"A 7.0 magnitude earthquake in Haiti kills 230,000.",01/12/2010,Haiti
1,2010,18-Feb,2010 Nigerien coup d'état.,02/18/2010,Niger
2,2010,29-Mar,2010 Moscow Metro bombings.,03/29/2010,Russia
3,2010,10-Apr,"The President of Poland, Lech Kaczyński, is among 96 killed when their airplane crashes in Smolensk, Russia.",04/10/2010,Russia
4,2010,20-Apr,The largest oil spill in US history occurs in the Gulf of Mexico.,04/20/2010,U.S.
5,2010,31-May,Gaza flotilla raid.,05/31/2010,International waters
6,2010,July 22 – August 10,2010 Colombia–Venezuela diplomatic crisis.,,Colombia and Venezuela
7,2010,23-Nov,North Korea shells the island of Yeonpyeong.,11/23/2010,Korean
8,2011,22-Feb,"Christchurch earthquake kills 185 and injures 2,000.",02/22/2011,New Zealand
9,2011,11-Mar,A 9.0 earthquake in Japan triggers a tsunami and the meltdown of the Fukushima Nuclear Power Plant.,03/11/2011,Japan
10,2011,2-May,Osama bin Laden is shot dead by United States Navy SEALs in Pakistan.,05/02/2011,Pakistan
11,2011,9-Jul,Independence of South Sudan.,07/09/2011,South Sudan
12,2011,22-Jul,2011 Norway attacks.,07/22/2011,Norway
13,2011,August 6 – 11,Riots flare across England.,,U.K.
14,2011,20-Oct,Muammar Gaddafi is captured and killed during the Battle of Sirte.,10/20/2011,Libya
15,2011,22-Feb,"revolutions in Tunisia, Egypt and Libya follow, as well as uprisings in Yemen and Bahrain, and protests in several other Arab countries.",02/22/2011,"Tunisia,Egypt,Libya,Yemen,Bahrain,and others"
16,2012,7-May,Vladimir Putin is elected president of Russia for the third time.,05/07/2012,Russia
17,2012,20-Jul,"2012 Aurora, Colorado shooting.",07/20/2012,U.S.
18,2012,September 11 – 12,2012 Benghazi attack leads to the death of US ambassador J. Christopher Stevens.,,Libya
19,2012,14-Oct,Skydiver Felix Baumgartner becomes the first person to break the sound barrier without a vehicle.,10/14/2012,U.S.
20,2012,October 22 – November 22,Hurricane Sandy causes $70 billion in damage and kills 233 people.,,"U.S.,Caribbean"
21,2012,6-Nov,"Barack Obama wins second term as President of the United States, defeating former Massachusetts Governor Mitt Romney.",11/06/2012,U.S.
