Year,Date,Description,FullDate,Country
2010,12-Jan,"A 7.0 magnitude earthquake in Haiti kills 230,000.",1/12/10 0:00,Haiti
2010,18-Feb,2010 Nigerien coup d'état.,2/18/10 0:00,Niger
2010,29-Mar,2010 Moscow Metro bombings.,3/29/10 0:00,Russia
2010,10-Apr,"The President of Poland, Lech Kaczyński, is among 96 killed when their airplane crashes in Smolensk, Russia.",4/10/10 0:00,Russia
2010,20-Apr,The largest oil spill in US history occurs in the Gulf of Mexico.,4/20/10 0:00,U.S.
2010,31-May,Gaza flotilla raid.,5/31/10 0:00,International waters
2010,July 22 – August 10,2010 Colombia–Venezuela diplomatic crisis.,,Colombia and Venezuela
2010,23-Nov,North Korea shells the island of Yeonpyeong.,11/23/10 0:00,Korean
2011,22-Feb,"Christchurch earthquake kills 185 and injures 2,000.",2/22/11 0:00,New Zealand
2011,11-Mar,A 9.0 earthquake in Japan triggers a tsunami and the meltdown of the Fukushima Nuclear Power Plant.,3/11/11 0:00,Japan
2011,2-May,Osama bin Laden is shot dead by United States Navy SEALs in Pakistan.,5/2/11 0:00,Pakistan
2011,9-Jul,Independence of South Sudan.,7/9/11 0:00,South Sudan
2011,22-Jul,2011 Norway attacks.,7/22/11 0:00,Norway
2011,August 6 – 11,Riots flare across England.,,U.K.
2011,20-Oct,Muammar Gaddafi is captured and killed during the Battle of Sirte.,10/20/11 0:00,Libya
2011,22-Feb,"revolutions in Tunisia, Egypt and Libya follow, as well as uprisings in Yemen and Bahrain, and protests in several other Arab countries.",2/22/11 0:00,"Tunisia,Egypt,Libya,Yemen,Bahrain,and others"
2012,7-May,Vladimir Putin is elected president of Russia for the third time.,5/7/12 0:00,Russia
2012,20-Jul,"2012 Aurora, Colorado shooting.",7/20/12 0:00,U.S.
2012,September 11 – 12,2012 Benghazi attack leads to the death of US ambassador J. Christopher Stevens.,,Libya
2012,14-Oct,Skydiver Felix Baumgartner becomes the first person to break the sound barrier without a vehicle.,10/14/12 0:00,U.S.
2012,October 22 – November 22,Hurricane Sandy causes $70 billion in damage and kills 233 people.,,"U.S.,Caribbean"
2012,6-Nov,"Barack Obama wins second term as President of the United States, defeating former Massachusetts Governor Mitt Romney.",11/6/12 0:00,U.S.
2012,15-Nov,Xi Jinping is elected as General Secretary of the Chinese Communist Party.,11/15/12 0:00,China
2012,November 26 – December 8,UN Climate Change Conference agrees to extend the Kyoto Protocol until 2020.,,Qatar
2012,December 4 – 9,"Typhoon Bopha kills over 1,600 in the Philippines.",,Philippines
2012,14-Dec,Sandy Hook Elementary School shooting.,12/14/12 0:00,U.S.
2013,15-Feb,"An undiscovered meteor strikes the Chelyabinsk oblast in Russia, with an airburst injuring thousands and damaging many buildings.",2/15/13 0:00,Russia
2013,February 28 – March 13,"Pope Benedict XVI resigns, the first Pope to do since 1415, and Pope Francis is elected, becoming the first Pope from Latin America.",,EUR
2013,5-Mar,Death and state funeral of Hugo Chavez.,3/5/13 0:00,Venezuela
2013,24-Apr,The Rana Plaza collapses in Bangladesh.,4/24/13 0:00,Bangladesh
2013,22-May,"British Army soldier Fusilier Lee Rigby of the Royal Regiment of Fusiliers is murdered in Woolwich, southeast London by Islamic terrorists Michael Adebolajo and Michael Adebowale.",5/22/13 0:00,U.K.
2013,1-Jul,Croatia becomes a member of the European Union.,7/1/13 0:00,Croatia
2013,3-Jul,President of Egypt Mohamed Morsi is deposed by the military in a coup d'état.,7/3/13 0:00,Egypt
2013,22-Jul,Birth of Prince George of Wales.,7/22/13 0:00,U.K.
2013,21-Aug,"A chemical attack in Ghouta, Syria is blamed on President Bashar al-Assad.",8/21/13 0:00,Syria
2013,September 9 – 28,Zamboanga City crisis.,,Philippines
2013,17-Sep,Rockstar Games release Grand Theft Auto V.,9/17/13 0:00,International release
2013,15-Oct,"A 7.2 magnitude earthquake in Bohol, kills 222.",10/15/13 0:00,Philippines
2013,8-Nov,"Typhoon Haiyan kills nearly 6,150 people in Vietnam and the Philippines.",11/8/13 0:00,"Philippines,Vietnam"
2013,21-Nov,The Euromaidan protest begins in Ukraine.,11/21/13 0:00,EUR
2013,5-Dec,Death and state funeral of Nelson Mandela.,12/5/13 0:00,South Africa
2014,February,"Euromaidan protest in Ukraine sparks a revolution and the overthrow of Viktor Yanukovych, leading to Russia's annexation of Crimea and the war in Donbas.",2/1/14 0:00,"EUR,Russia"
2014,8-Mar,Malaysia Airlines Flight 370 disappears from radar while en route to Beijing from Kuala Lumpur. There were 239 people on board.,3/8/14 0:00,International waters
2014,16-Apr,"The MV Sewol sinks, killing 304 of 476 passengers, 250 of which were students at Danwon High School.",4/16/14 0:00,Korean
2014,22-May,A coup d'état in Thailand overthrows the caretaker government.,5/22/14 0:00,Thailand
2014,19-Jun,King Juan Carlos I of Spain abdicates; his son becomes King Felipe VI.,6/19/14 0:00,EUR
2014,9-Aug,"The shooting of African-American teenager Michael Brown by police leads to violent unrest in Ferguson, Missouri.",8/9/14 0:00,U.S.
2014,12-Nov,The Rosetta spacecraft's Philae probe becomes the first to successfully land on a comet.,11/12/14 0:00,International
2014,16-Dec,Tehrik-i-Taliban Pakistan kill over 130 students in Pakistan.,12/16/14 0:00,Pakistan
2015,1-Jan,Five former Soviet Union countries form the Eurasian Economic Union.,1/1/15 0:00,"Russia,Kazakhstan,Belarus,Armenia,Kyrgyzstan"
2015,January 3 – 7,"Boko Haram perpetrates a massacre of over 2,000 people in Baga, Nigeria, and allies itself with ISIL.",,Nigeria
2015,2-Apr,"Al-Shabaab perpetrates a mass shooting in Kenya, killing 148.",4/2/15 0:00,Kenya
2015,April 25 – May 3,"The death of an African-American man, Freddie Gray by police leads to violent unrest in Baltimore, Maryland.",,U.S.
2015,13-May,Kentex slipper factory fire.,5/13/15 0:00,Philippines
2015,14-Jul,"Joint Comprehensive Plan of Action agreement reached, setting limits to Iran's nuclear program in exchange for sanctions relief.",7/14/15 0:00,EUR
2015,30-Sep,Russia begins air strikes against ISIL and anti-government forces in Syria,9/30/15 0:00,Syria
2015,November 30 – December 12,195 nations agree to lower carbon emissions by negotiating the Paris agreement.,,EUR
2016,11-Feb,Detection of gravitational waves by LIGO confirmed.,2/11/16 0:00,U.S.
2016,March 9-15,"Artificial intelligence program AlphaGo defeats top Go player Lee Sedol in a series of 5 games, winning 4 out of 5 games.",3/9/15 20:16,Korean
2016,20-Mar,Barack Obama becomes the first U.S. president to visit Cuba since Calvin Coolidge in 1928.,3/20/16 0:00,Cuba
2016,3-Apr,"Panama Papers, a leak of legal documents, reveals information of 214,888 offshore companies.",4/3/16 0:00,International
2016,9-May,"Rodrigo Duterte becomes President of the Philippines, and initiates a controversial drug war.",5/9/16 0:00,Philippines
2016,1-Jun,"The Gotthard Base Tunnel, the world's longest and deepest railway tunnel, is completed.",6/1/16 0:00,"Switzerland,Italy"
2016,12-Jun,"A shooter kills 49 people at a gay nightclub in Orlando, Florida.",6/12/16 0:00,U.S.
2016,June 23 – July 13,"The people of the United Kingdom vote to leave the European Union; David Cameron resigns as a result, and Theresa May succeeds him as the second female Prime Minister of the UK.",,U.K.
2016,4-Jul,Juno enters orbit around Jupiter,7/4/16 0:00,U.S.
2016,4-Sep,Mother Teresa is officially canonized by Pope Francis.,9/4/16 0:00,EUR
2016,4-Nov,"The Paris Agreement, signed by 195 nations to fight global warming, formally goes into effect.",11/4/16 0:00,International
2016,8-Nov,"Donald Trump wins the 2016 presidential election, in an upset against Hillary Clinton, the first woman to be nominated by a major party.",11/8/16 0:00,U.S.
2017,20-Jan,Donald Trump is inaugurated as President of the United States.,1/20/17 0:00,U.S.
2017,21-Jan,Millions of people participate in the Women's March in response to the inauguration of Donald Trump.,1/21/17 0:00,U.S.
2017,13-Feb,"Kim Jong-nam, the half-brother of Kim Jong-Un, is assassinated in Kuala Lumpur, Malaysia.",2/13/17 0:00,Malaysia
2017,13-May,"Pope Francis canonizes Jacinta and Francisco Marto, two of the three Fátima children who reported seeing the Virgin Mary in the spring and summer of 1917.",5/13/17 0:00,EUR
2017,22-May,"A terrorist bombing attack at an Ariana Grande concert in Manchester, England kills 22 people and injures over 140.",5/22/17 0:00,U.K.
2017,2-Jun,36 people are killed in an attack in Resorts World Manila.,6/2/17 0:00,Philippines
2017,August 11 – 12,"Charlottesville, Virginia becomes the site of a far-right rally protesting the removal of Confederate statues throughout the US. During the event, a white supremacist rams his car into a crowd of counter-protesters, injuring 19 and killing one.",,U.S.
2017,September,"Two earthquakes strike Mexico on September 8 and September 19, killing over 400 people.",9/1/17 0:00,Mexico
2017,1-Oct,60 people are killed in a mass shooting at a music festival in Las Vegas.,10/1/17 0:00,U.S.
2017,14-Oct,"A bombing in Mogadishu, Somalia kills 587 people and injures 316. It is one of the deadliest terrorist attacks in modern history.",10/14/17 0:00,Somalia
2017,28-Oct,"'Oumuamua, the first known interstellar object, is identified.",10/28/17 0:00,International
2017,5-Nov,"26 people are killed in a church shooting in Sutherland Springs, Texas.",11/5/17 0:00,U.S.
2018,24-Mar,March for Our Lives occurs in 900 locations worldwide in response to the 14 February Parkland shooting.,3/24/18 0:00,U.S.
2018,12-Jun,The first summit between the US and North Korea and the first ever crossing of the Korean Demilitarized Zone by a North Korean leader occur.,6/12/18 0:00,"Singapore,North Korea"
2018,June 23 – July 10,Twelve boys and their football coach are successfully rescued from the flooded Tham Luang Nang Non cave in Thailand.,,Thailand
2018,24-Jun,Saudi Arabia allows women to drive.,6/24/18 0:00,Saudi Arabia
2018,2-Oct,"Exiled Washington Post journalist Jamal Khashoggi is assassinated inside the Saudi consulate in Istanbul, triggering a diplomatic crisis for Saudi Arabia.",10/2/18 0:00,Turkey
2019,3-Jan,Chang'e 4 becomes the first object to land on the far side of the Moon.,1/3/19 0:00,China
2019,25-Jan,Establishment of the Bangsamoro Autonomous Region in Muslim Mindanao.,1/25/19 0:00,Philippines
2019,January – June,"A series of suicide bombings occur in Sulu, Philippines.",,Philippines
2019,15-Apr,"A major fire engulfs Notre-Dame Cathedral in Paris, resulting in the roof and main spire collapsing.",4/15/19 0:00,EUR
2019,30-Apr,"Emperor Akihito of Japan abdicates from his throne, the first abdication by a Japanese monarch in almost two centuries. The abdication ends the Heisei era of Japan and ushers in the Reiwa era with new emperor Naruhito ascending the throne on May 1.",4/30/19 0:00,Japan
2019,5-Aug,India revokes the special status of Jammu and Kashmir.,8/5/19 0:00,India
2019,18-Oct,NASA astronauts Jessica Meir and Christina Koch conduct the first all-female spacewalk outside of the ISS.,10/18/19 0:00,International Space Station
2019,18-Dec,US President Donald Trump is impeached by the House of Representatives for abuse of power and obstruction of Congress.,12/18/19 0:00,U.S.
2019,20-Dec,The United States Space Force is announced by Vice President Mike Pence.,12/20/19 0:00,U.S.
2020,2-Jan,The Royal Australian Air Force and Navy are deployed to New South Wales and Victoria to assist mass evacuation efforts amidst the 2019–20 Australian bushfire season.[1][2],1/2/20 0:00,Australia
2020,3-Jan,Qasem Soleimani is targeted and killed at Baghdad International Airport.,1/3/20 0:00,Iraq
2020,8-Jan,"Ukraine International Airlines Flight 752 is shot down by Iranian Islamic Revolutionary Guards Corps (IRGC) shortly after taking off from Tehran, killing all 176 on board.",1/8/20 0:00,Iran
2020,January 16 – February 5,Donald Trump is acquitted by the United States Senate in his first impeachment trial.,,U.S.
2020,31-Jan,The United Kingdom formally withdraws from the European Union.,1/31/20 0:00,U.K.
2020,9-Feb,Bong Joon-ho's Parasite becomes the first South Korean film to receive Academy Award recognitions at the 92nd Academy Awards.,2/9/20 0:00,U.S.
2020,25-May,The murder of George Floyd sparks protests across the United States and the world.,5/25/20 0:00,U.S.
2020,30-May,Crewed spaceflight resumes in the United States for the first time since 2011.,5/30/20 0:00,U.S.
2020,16-Jun,"North Korea demolishes the Inter-Korean Liaison Office in Kaesong, established in 2018 to improve relations.",6/16/20 0:00,North Korea
2020,30-Jun,China's National People's Congress grants itself sweeping powers to curtail civil liberties in Hong Kong.,6/30/20 0:00,China
2020,9-Jul,Protests begin in Bulgaria against the government of prime minister Boyko Borisov.,7/9/20 0:00,Bulgaria
2020,10-Jul,Turkish President Recep Tayyip Erdoğan orders the Hagia Sophia in Istanbul to be reverted to a mosque following the annulment of a 1934 presidential decree that made it into a museum.,7/10/20 0:00,Turkey
2020,28-Jul,"Former Prime Minister of Malaysia Najib Razak is found guilty of all seven charges in the first of five trials on the 1MDB scandal, being jailed 12 years and fined RM210 million as a result.",7/28/20 0:00,Malaysia
2020,30-Jul,NASA successfully launches its Mars 2020 rover mission to search for signs of ancient life and collect samples for return to Earth.,7/30/20 0:00,U.S.
2020,4-Aug,"An explosion caused by unsafely stored ammonium nitrate kills at least 218 people, injures thousands, and severely damages the port of Beirut, Lebanon.",8/4/20 0:00,Lebanon
2020,19-Aug,"The Special Tribunal for Lebanon convicts in absentia Salim Ayyash, a senior member of Hezbollah, for the 2005 assassination of former prime Minister Rafic Hariri.",8/19/20 0:00,Lebanon
2020,25-Aug,"Africa is declared free of wild polio, the second virus to be eradicated from the continent since smallpox 40 years previously.",8/25/20 0:00,Africa
2020,26-Aug,"Amazon CEO Jeff Bezos becomes the first person in history to have a net worth exceeding US$200 billion, according to Forbes.",8/26/20 0:00,U.S.
2020,16-Sep,"A United Nations Human Rights Council fact-finding mission formally accuses the Venezuelan government of crimes against humanity, including cases of killings, torture, violence against political opposition and disappearances since 2014.",9/16/20 0:00,Venezuela
2020,September 27 – November 10,2020 Nagorno-Karabakh war between Armenia and Azerbaijan.,,"Armenia,Azerbaijan"
2020,15-Oct,President of Kyrgyzstan Sooronbay Jeenbekov resigns from office after weeks of massive protests in the wake of the October 2020 parliamentary election.,10/15/20 0:00,Kyrgyzstan
2020,20-Oct,"NASA's OSIRIS-REx spacecraft briefly touches down on 101955 Bennu, becoming the agency's first probe to retrieve samples from an asteroid, with its cargo returning to Earth in 2023.",10/20/20 0:00,U.S.
2020,22-Oct,The Geneva Consensus Declaration on Promoting Women's Health and Strengthening the Family is signed by government representatives from 34 countries.,10/22/20 0:00,Switzerland
2020,23-Oct,"At the end of an 11-year demining process, the Falkland Islands are declared free of land mines, 38 years after the end of the Falklands War.",10/23/20 0:00,Falkland Islands
2020,29-Oct,The International Organization for Migration (IOM) confirms the death of least 140 migrants who drowned off the coast of Senegal on a vessel bound for the Spanish Canary Islands.,10/29/20 0:00,"Senegal,EUR"
2020,3-Nov,"The 2020 United States presidential election occurs. Despite the pandemic, early voting and other factors result in the highest voter turnout since 1900, and a record of over 155 million votes cast. Although Joe Biden is declared the winner on November 7, Donald Trump leads an unprecedented effort to prevent official recognition of his defeat, culminating on January 6 the next year.",11/3/20 0:00,U.S.
2020,3-Nov,The Tigray War begins in Ethiopia.,11/3/20 0:00,Ethiopia
2020,15-Nov,"The Regional Comprehensive Economic Partnership (RCEP) is signed by 15 Asia-Pacific countries to form the world's largest free-trade bloc, covering a third of the world's population.",11/15/20 0:00,Asia-Pacific
2020,19-Nov,The Brereton Report into Australian war crimes during the War in Afghanistan is released.,11/19/20 0:00,Australia
2020,27-Nov,"Iran's top nuclear scientist, Mohsen Fakhrizadeh, is assassinated near Tehran.",11/27/20 0:00,Iran
2020,30-Nov,"Protein folding, one of the biggest mysteries in biology, is solved by AlphaFold, an artificial intelligence algorithm developed by DeepMind.",11/30/20 0:00,U.K.
2020,1-Dec,"The Arecibo Telescope of the Arecibo Observatory collapses, just weeks after the announcement of its planned demolition.",12/1/20 0:00,U.S.
2020,2-Dec,"The United Nations Commission on Narcotic Drugs votes to remove cannabis from a list of dangerous drugs in recognition of its medical value, although some controls will remain.",12/2/20 0:00,International
2020,8-Dec,"Nepal and China officially agree on Mount Everest's actual height, which is 8,848.86m.",12/8/20 0:00,"Nepal,China"
2020,18-Dec,"Media outlets report that astronomers have detected a radio signal, BLC1, apparently from  the direction of Proxima Centauri, the closest star to the Sun.",12/18/20 0:00,International
2020,21-Dec,"A great conjunction of Jupiter and Saturn occurs, with the two planets separated in the sky by 0.1 degrees. This is the closest conjunction between the two planets since 1623.",12/21/20 0:00,International
2021,1-Jan,The African Continental Free Trade Area comes into effect.,1/1/21 0:00,Africa
2021,6-Jan,"Supporters of President Donald Trump, gathered after a rally led by him, attack the United States Capitol, leading to five deaths.",1/6/21 0:00,U.S.
2021,10-Jan,"Kim Jong-un is elected as the General Secretary of the ruling Workers' Party of Korea, inheriting the title from his father Kim Jong-il, who died in 2011.",1/10/21 0:00,North Korea
2021,13-Jan,"In Lyon, France, the first transplant of both arms and shoulders is performed on an Icelandic patient at the Édouard Herriot Hospital.",1/13/21 0:00,EUR
2021,January 13 – February 13,"Donald Trump is impeached for a second time following the events of January 6, but is acquitted again after his trial from February 9–13.",,U.S.
2021,20-Jan,"Joe Biden is inaugurated as President of the United States. Kamala Harris, sworn in as vice president, becomes the first woman, first African American and first Asian American to be vice president.",1/20/21 0:00,U.S.
2021,22-Jan,"The Treaty on the Prohibition of Nuclear Weapons, the first legally binding international agreement comprehensively to prohibit nuclear weapons, comes into effect.",1/22/21 0:00,International
2021,February 13 – 17,"Winter Storm Uri becomes the costliest winter storm in North American history, costing $200 billion and 237 lives, and triggering the 2021 Texas power crisis.",,U.S.
2021,18-Feb,"NASA's Mars 2020 mission (containing the Perseverance rover and Ingenuity helicopter drone) lands on Mars at Jezero Crater, after seven months of travel.",2/18/21 0:00,Mars
2021,22-Feb,"Luca Attanasio, the Italian ambassador to the Democratic Republic of the Congo, is murdered near Goma.",2/22/21 0:00,Democratic Republic of the Congo
2021,6-Mar,"Pope Francis meets with Grand Ayatollah Ali al-Sistani in Najaf, Iraq. It is the first-ever meeting between a pope and a grand ayatollah.",3/6/21 0:00,Iraq
2021,18-Mar,The Spanish Congress of Deputies passes the euthanasia law.[3],3/18/21 0:00,EUR
2021,20-Mar,"Turkish President Recep Tayyip Erdoğan announces his country's withdrawal from the Istanbul Convention, the first country to do so.",3/20/21 0:00,Turkey
2021,21-Mar,"Clashes in Apure between Colombian FARC dissidents and the Venezuelan Armed Forces cause at least six casualties and displace 4,000 Venezuelans.",3/21/21 0:00,"Venezuela,Colombia"
2021,March 23 – 29,"The container ship Ever Given obstructs the Suez Canal for six days, costing an estimated $3.6 billion in global trade.",,Egypt
2021,9-Apr,"Buckingham Palace announces the death of Prince Philip, Duke of Edinburgh and husband of the Queen, at the age of 99.",4/9/21 0:00,U.K.
2021,11-Apr,"Hideki Matsuyama wins the 2021 Masters Tournament, becoming the first man from Japan to win a major golf championship.",4/11/21 0:00,U.S.
2021,13-Apr,"Japan's government approves the dumping of radioactive water of the Fukushima Daiichi Nuclear Power Plant into the Pacific Ocean over the course of 30 years, with full support of the International Atomic Energy Agency.",4/13/21 0:00,Japan
2021,15-Apr,"Scientists announce they successfully injected human stem cells into the embryos of monkeys, creating chimera-embryos.",4/15/21 0:00,International
2021,20-Apr,"Idriss Déby, President of Chad, is killed in clashes with rebel forces after 30 years in office.",4/20/21 0:00,Chad
2021,24-Apr,"Following an international search and rescue effort, the Indonesian navy reports the sinking of KRI Nanggala with 53 crew members, the largest loss of life aboard a submarine since 2003.",4/24/21 0:00,Indonesia
2021,April 28 – May 1,A border clash between Kyrgyzstan and Tajikistan leads to 55 deaths.,,"Kyrgyzstan,Tajikistan"
2021,May 6 – 21,Hundreds die in conflicts after Israel evicts six Palestinian families from East Jerusalem.,,Israel
2021,23-May,Ryanair Flight 4978 is forced to land by Belarusian authorities to detain dissident journalist Roman Protasevich.,5/23/21 0:00,Belarus
2021,7-Jun,"The Juno spacecraft performs its only flyby of Jupiter's moon Ganymede, the first flyby of the moon by any spacecraft in over 20 years.",6/7/21 0:00,Jupiter
2021,13-Jun,"Benjamin Netanyahu, the longest-serving prime minister of Israel, is voted out of office; Naftali Bennett and Yair Lapid are sworn in as Prime Minister of Israel and as Alternate Prime Minister of Israel, respectively.",6/13/21 0:00,Israel
2021,19-Jun,"Joe Biden signs Juneteenth National Independence Day Act into law, making Juneteenth a federal holiday. It is the first new federal holiday since Martin Luther King Jr. Day.[4][5]",6/19/21 0:00,U.S.
2021,24-Jun,"The Champlain Towers South condominium in Surfside, Florida, collapses, killing 98 people.",6/24/21 0:00,U.S.
2021,4-Jul,"50 people are killed and 46 others are injured when a C-130 transport plane of the Philippine Air Force crashes in Jolo, Sulu.",7/4/21 0:00,Philippines
2021,7-Jul,"Haitian President Jovenel Moïse, is assassinated in a midnight attack by unknown mercenaries.",7/7/21 0:00,Haiti
2021,18-Jul,"An international investigation reveals that spyware sold by Israel's NSO Group to different governments is being used to target heads of state, along with thousands of activists, journalists and dissidents around the world.",7/18/21 0:00,International
2021,19-Jul,"Blue Origin successfully conducts its first human test flight, with a reusable New Shepard rocket delivering four crew members into space including its founder Jeff Bezos.",7/19/21 0:00,U.S.
2021,28-Jul,"The first direct observation of light from behind a black hole is reported, confirming Einstein's theory of general relativity.",7/28/21 0:00,International
2021,9-Aug,"The Intergovernmental Panel on Climate Change releases the first part of its Sixth Assessment Report, which concludes that the effects of human-caused climate change are now ""widespread, rapid, and intensifying"".",8/9/21 0:00,International
2021,14-Aug,"An earthquake in Haiti kills over 2,000 people.",8/14/21 0:00,Haiti
2021,15-Aug,"Kabul falls following the 2021 Taliban offensive, as the Islamic Republic of Afghanistan collapses, and the country is governed thereafter by the Taliban as the reinstated Islamic Emirate of Afghanistan. The War in Afghanistan thus ends after 20 years following the withdrawal of U.S. and coalition troops.",8/15/21 0:00,Afghanistan
2021,30-Aug,"The UN Environment Programme announces that leaded petrol in road vehicles has been phased out globally, a hundred years after its introduction.",8/30/21 0:00,International
2021,7-Sep,El Salvador becomes the first country in the world to accept Bitcoin as an official currency.,9/7/21 0:00,U.S.
2021,14-Sep,North Korea demonstrates two short-range ballistic missiles that land just outside Japan's territorial waters; hours later South Korea demonstrates its first submarine-launched ballistic missile.,9/14/21 0:00,"North Korea,Korean"
2021,15-Sep,"A trilateral security pact between Australia, the United Kingdom, and the United States is formed to counter Chinese influence. This includes enabling Australia to build its first nuclear-powered submarine fleet.",9/15/21 0:00,"Australia,U.K.,U.S."
2021,16-Sep,"Inspiration4, launched by SpaceX, becomes the first all-civilian spaceflight, carrying a four-person crew on a three-day orbit of the Earth.",9/16/21 0:00,U.S.
2021,3-Oct,"The International Consortium of Investigative Journalists and assorted media partners publish a set of 11.9 million documents leaked from 14 financial services companies known as the Pandora Papers, revealing offshore financial activities that involve multiple current and former world leaders.",10/3/21 0:00,International
2021,6-Oct,The World Health Organization endorses the first malaria vaccine.,10/6/21 0:00,International
2021,16-Nov,"Russia draws international condemnation following an anti-satellite weapon test that creates a cloud of space debris, threatening the International Space Station.",11/16/21 0:00,Russia
2021,30-Nov,Barbados becomes a republic on its 55th anniversary of independence while remaining a member of the Commonwealth of Nations.,11/30/21 0:00,Barbados
2021,9-Dec,"A truck crash in Chiapas, Mexico, kills 55 migrants who were being smuggled in it from Guatemala through Mexico to its border with the United States.",12/9/21 0:00,Mexico
2021,December 16 – 18,"Typhoon Rai lashes into Visayas and Mindanao, killing 409 people.",,Philippines
2022,January – September,Coups d'état in Burkina Faso.,,Burkina Faso
2022,2-Jan,2022 Kazakh unrest.,1/2/22 0:00,Kazakhstan
2022,4-Jan,"China, France, Russia, the UK, and the US—all five permanent members of the United Nations Security Council—issue a rare joint statement affirming that ""a nuclear war cannot be won and must never be fought.""[6]",1/4/22 0:00,"China,EUR,Russia,U.K.,U.S."
